file,mtime,target,variant,variant_label,experiment_tag,run_suffix,data_mode,label_space,evaluation_mode,classifier_head,epochs,epochs_ran,batch_size,best_epoch,window_accuracy,window_macro_f1,window_macro_prec,window_macro_rec,file_accuracy,file_macro_f1,file_macro_prec,file_macro_rec,n_files,inf_ms_win,params,primary_comparable
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d2/mspf_net_d2_no_nonstationary_path_results.json,1780415723.6602592,D2,no_nonstationary_path,-Nonstationary Path,no_nonstationary_path,,processed,fine,primary_test,softmax,100,49,16,29,22.687597266391503,13.661288668448925,24.545028694160944,22.730552540499975,20.0,7.2727272727272725,4.444444444444444,20.0,20,1.2737391632981598,237591,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d4/mspf_net_d4_no_nonstationary_path_results.json,1780421308.927215,D4,no_nonstationary_path,-Nonstationary Path,no_nonstationary_path,,processed,fine,primary_test,softmax,100,46,32,26,25.13926024955437,25.197744519633027,27.96065172286336,25.51406926406926,39.58333333333333,37.5912901392441,37.97348484848485,41.07142857142857,48,0.45365872501861304,239074,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d5/mspf_net_d5_no_nonstationary_path_results.json,1780423012.9793115,D5,no_nonstationary_path,-Nonstationary Path,no_nonstationary_path,,processed,fine,primary_test,softmax,100,39,128,19,25.52514003734329,19.675825336332835,30.281561891653304,22.560682848759665,31.25,22.222222222222225,21.333333333333336,26.666666666666668,16,0.1735455443849787,242704,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d8/mspf_net_d8_no_nonstationary_path_results.json,1780423204.2751353,D8,no_nonstationary_path,-Nonstationary Path,no_nonstationary_path,,processed,fine,primary_test,softmax,100,35,16,15,70.55555555555556,63.419894745923564,84.36578171091446,70.55555555555556,73.33333333333333,68.25396825396827,85.18518518518518,73.33333333333334,15,1.1715893750078976,236565,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d1/mspf_net_d1_equal_path_fusion_results.json,1780423513.4135642,D1,equal_path_fusion,Equal Path Fusion,equal_path_fusion,,processed,fine,primary_test,softmax,100,31,128,11,89.32305055698372,89.30223590087799,92.1018291407371,89.32305055698372,93.33333333333333,93.14285714285712,95.0,93.33333333333333,15,0.27889646644325694,1649752,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d2/mspf_net_d2_equal_path_fusion_results.json,1780455563.3703809,D2,equal_path_fusion,Equal Path Fusion,equal_path_fusion,,processed,fine,primary_test,softmax,100,40,16,20,62.47378036403004,61.409823870033165,70.39765882544178,62.4348316341172,70.0,68.33333333333333,75.0,70.0,20,7.656448593479581,2461400,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d4/mspf_net_d4_equal_path_fusion_results.json,1780471444.2496421,D4,equal_path_fusion,Equal Path Fusion,equal_path_fusion,,processed,fine,primary_test,softmax,100,42,32,22,37.185271836007125,38.596819223801745,45.63249375551695,36.79733256939139,47.91666666666667,49.51388888888889,61.98004201680673,48.214285714285715,48,1.2673821089265402,2462883,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d5/mspf_net_d5_equal_path_fusion_results.json,1780473092.661277,D5,equal_path_fusion,Equal Path Fusion,equal_path_fusion,,processed,fine,primary_test,softmax,100,25,128,5,31.646772472659375,29.35078545059157,59.29934591796401,32.381968524939985,31.25,25.77777777777778,24.074074074074076,33.33333333333333,16,0.22728030162397772,2466513,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d8/mspf_net_d8_equal_path_fusion_results.json,1780473872.979307,D8,equal_path_fusion,Equal Path Fusion,equal_path_fusion,,processed,fine,primary_test,softmax,100,25,16,5,80.0,78.02197802197803,87.5,80.0,80.0,78.02197802197803,87.5,80.0,15,12.251125468173996,1648782,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d1/mspf_net_d1_simple_channel_mixer_results.json,1780474336.7617044,D1,simple_channel_mixer,Simple Channel Mixer,simple_channel_mixer,,processed,fine,primary_test,softmax,100,52,128,32,90.40274207369323,90.30709749552489,91.72339582637129,90.40274207369323,93.33333333333333,93.14285714285712,95.0,93.33333333333333,15,0.18358071483817184,1649752,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d2/mspf_net_d2_simple_channel_mixer_results.json,1780498741.1002066,D2,simple_channel_mixer,Simple Channel Mixer,simple_channel_mixer,,processed,fine,primary_test,softmax,100,31,16,11,67.4808850395832,65.03311984658197,72.44656258566688,67.47293725718694,65.0,60.56166056166056,64.88888888888889,65.0,20,8.668553100142162,2461368,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d4/mspf_net_d4_simple_channel_mixer_results.json,1780523821.232443,D4,simple_channel_mixer,Simple Channel Mixer,simple_channel_mixer,,processed,fine,primary_test,softmax,100,63,32,43,38.63079322638146,39.752799780365144,43.766069501393886,38.22733638910109,47.91666666666667,51.56593406593407,61.2797619047619,48.21428571428571,48,1.3592685500043444,2462883,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d5/mspf_net_d5_simple_channel_mixer_results.json,1780526321.0001776,D5,simple_channel_mixer,Simple Channel Mixer,simple_channel_mixer,,processed,fine,primary_test,softmax,100,39,128,19,49.4665244065084,47.06554198291121,57.902552176857746,49.86929847959456,56.25,51.11111111111112,50.0,56.666666666666664,16,0.2760476256298716,2466489,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d8/mspf_net_d8_simple_channel_mixer_results.json,1780527037.4151838,D8,simple_channel_mixer,Simple Channel Mixer,simple_channel_mixer,,processed,fine,primary_test,softmax,100,23,16,3,92.77777777777779,92.75803888806985,94.06392694063926,92.77777777777777,93.33333333333333,93.26599326599326,94.44444444444446,93.33333333333333,15,12.645279211574234,1648750,True
